tach,cht2,cht3,egt1,egt2,egt3,egt4,volts,unit_temp_f,coolant_temp_f,oil_temp_f,oil_pres_psi,aux1,aux2,aux3,aux4,aux5,aux6,tach_hrs,flight_hrs
0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,342.40000000000003,0.0
0,0,0,0,0,0,0,1.6,0,21,27,0,-67,0,0,0,0,0,342.40000000000003,0.0
517,0,0,0,0,0,0,1.6,0,21,27,0,-67,0,0,0,0,0,342.40000000000003,0.0
517,0,0,0,0,0,0,3.1,0,28,39,0,-59,0,0,0,0,0,342.40000000000003,0.0
0,0,0,1,2,8,0,3.1,9,28,39,0,-59,0,0,0,0,0,342.40000000000003,0.0
0,0,0,1,2,8,8,4.4,9,34,49,0,-51,0,0,0,0,0,342.40000000000003,0.0
0,0,0,14,15,21,21,5.5,22,40,58,0,-45,0,0,0,0,0,342.40000000000003,0.0
0,0,0,14,15,21,21,6.5,22,45,65,0,-39,0,0,0,0,0,342.40000000000003,0.0
0,0,0,20,21,27,27,6.5,28,45,65,0,-39,0,0,0,0,0,342.40000000000003,0.0
0,0,0,20,21,27,27,7.4,28,50,72,0,-34,0,0,0,0,0,342.40000000000003,0.0
0,0,0,25,26,32,32,7.4,33,50,72,0,-34,0,0,0,0,0,342.40000000000003,0.0
0,9,9,25,26,32,32,8.1,38,53,78,0,-30,0,0,0,0,0,342.40000000000003,0.0
0,9,9,31,31,37,37,8.1,38,53,78,0,-30,0,0,0,0,0,342.40000000000003,0.0
0,21,21,31,31,37,37,8.8,41,57,83,0,-26,0,0,0,0,0,342.40000000000003,0.0
0,21,21,33,34,40,40,8.8,41,57,83,0,-26,0,0,0,0,0,342.40000000000003,0.0
0,30,30,33,34,40,40,9.3,41,60,88,0,-23,0,0,0,0,0,342.40000000000003,0.0
0,30,30,38,38,44,44,9.3,45,60,88,0,-23,0,0,0,0,0,342.40000000000003,0.0
0,39,39,38,38,44,44,9.8,45,62,92,0,-20,0,0,0,0,0,342.40000000000003,0.0
0,39,39,41,41,47,47,9.8,48,62,92,0,-20,0,0,0,0,0,342.40000000000003,0.0
0,47,47,41,41,47,47,10.3,50,64,96,0,-18,0,0,0,0,0,342.40000000000003,0.0
0,47,47,43,43,49,49,10.3,50,64,96,0,-18,0,0,0,0,0,342.40000000000003,0.0
0,53,53,43,43,49,49,10.600000000000001,52,66,99,0,-15,0,0,0,0,0,342.40000000000003,0.0
0,53,53,45,45,51,51,10.600000000000001,52,66,99,0,-15,0,0,0,0,0,342.40000000000003,0.0
0,58,59,45,45,51,51,11.0,54,68,101,0,-14,0,0,0,0,0,342.40000000000003,0.0
0,58,59,47,48,53,53,11.0,54,68,101,0,-14,0,0,0,0,0,342.40000000000003,0.0
0,64,64,47,48,53,53,11.3,56,70,104,0,-12,0,0,0,0,0,342.40000000000003,0.0
0,64,64,49,49,55,55,11.3,56,70,104,0,-12,0,0,0,0,0,342.40000000000003,0.0
0,68,68,49,49,55,55,11.5,56,71,106,0,-10,0,0,0,0,0,342.40000000000003,0.0
0,68,68,51,51,57,57,11.5,58,71,106,0,-10,0,0,0,0,0,342.40000000000003,0.0
0,73,73,51,51,57,57,11.8,59,72,107,0,-9,0,0,0,0,0,342.40000000000003,0.0
0,73,73,52,52,58,59,11.8,59,72,107,0,-9,0,0,0,0,0,342.40000000000003,0.0
0,76,76,52,52,58,59,11.9,60,73,109,0,-8,0,0,0,0,0,342.40000000000003,0.0
0,76,76,53,53,59,59,11.9,60,73,109,0,-8,0,0,0,0,0,342.40000000000003,0.0
0,78,78,53,53,59,59,12.100000000000001,61,74,110,0,-7,0,0,0,0,0,342.40000000000003,0.0
0,78,78,54,54,60,60,12.100000000000001,61,74,110,0,-7,0,0,0,0,0,342.40000000000003,0.0
0,81,81,54,54,60,60,12.3,62,75,112,0,-6,0,0,0,0,0,342.40000000000003,0.0
0,81,81,55,55,61,61,12.3,62,75,112,0,-6,0,0,0,0,0,342.40000000000003,0.0
0,83,83,55,55,61,61,12.4,63,75,113,0,-5,0,0,0,0,0,342.40000000000003,0.0
0,83,83,56,56,62,62,12.4,63,75,113,0,-5,0,0,0,0,0,342.40000000000003,0.0
0,86,86,56,56,62,62,12.5,63,76,113,0,-5,0,0,0,0,0,342.40000000000003,0.0
0,86,86,56,56,62,62,12.5,63,76,113,0,-5,0,0,0,0,0,342.40000000000003,0.0
0,87,87,56,56,62,62,12.600000000000001,64,76,114,0,-4,0,0,0,0,0,342.40000000000003,0.0
0,87,87,57,57,63,63,12.600000000000001,64,76,114,0,-4,0,0,0,0,0,342.40000000000003,0.0
0,88,88,57,57,63,63,12.700000000000001,64,77,115,0,-4,0,0,0,0,0,342.40000000000003,0.0
0,88,88,57,57,63,63,12.700000000000001,64,77,115,0,-4,0,0,0,0,0,342.40000000000003,0.0
0,89,89,57,57,63,63,12.8,65,77,116,0,-3,0,0,0,0,0,342.40000000000003,0.0
0,89,89,58,58,64,64,12.8,65,77,116,0,-3,0,0,0,0,0,342.40000000000003,0.0
0,91,91,58,58,64,64,12.8,65,78,116,0,-3,0,0,0,0,0,342.40000000000003,0.0
