#airframe_info, log_version="1.00", airframe_name="Piper", unit_software_part_number="006-BXXXXX-81", unit_software_version="10.01", system_software_part_number="006-FFFF", system_id="123", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 TIT1,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2012-04-18, 16:25:36,  -08:00,       ,             ,             ,     0.5, 30.13,        ,  19.2,   0.00,       ,    9.46,       ,       ,       ,       ,      ,      ,  28.8,  18.2,  47.23,  53.11,     5.04,  154.08,   71.61,  15.80, 1250.3,  205.83,  221.15,  231.36,  228.32,  225.39,  207.86,  775.17,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:36,  -08:00,       ,             ,             ,     0.5, 30.13,        ,  19.2,   0.00,       ,    9.46,       ,       ,       ,       ,      ,      ,  28.9,  18.2,  47.23,  53.11,     5.04,  154.10,   71.61,  15.80, 1250.3,  205.83,  221.19,  231.36,  228.32,  225.39,  207.87,  775.17,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:37,  -08:00,       ,             ,             ,     0.5, 30.13,        ,  19.2,   0.00,       ,    2.96,       ,       ,       ,       ,      ,      ,  28.8,  18.1,  47.23,  53.11,     5.05,  154.36,   71.67,  15.80, 1247.9,  206.29,  221.51,  231.79,  228.56,  225.63,  208.12,  780.34,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:38,  -08:00,       ,             ,             ,    -0.5, 30.13,        ,  19.2,   0.00,       ,   -1.33,       ,       ,       ,       ,      ,      ,  28.8,  17.9,  47.23,  53.11,     5.05,  154.57,   71.46,  15.75, 1244.3,  206.69,  221.78,  232.20,  228.79,  225.82,  208.37,  785.28,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:39,  -08:00,       ,             ,             ,    -1.5, 30.13,        ,  19.2,   0.00,       ,  -36.22,       ,       ,       ,       ,      ,      ,  28.9,  17.8,  45.74,  53.02,     5.05,  154.74,   71.39,  15.72, 1238.6,  207.21,  222.16,  232.68,  229.01,  226.11,  208.71,  789.93,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:40,  -08:00,       ,             ,             ,    -2.5, 30.13,        ,  19.2,   0.00,       ,  -43.74,       ,       ,       ,       ,      ,      ,  28.8,  17.5,  45.03,  52.95,     5.08,  154.86,   71.35,  15.76, 1233.7,  207.60,  222.41,  233.03,  229.23,  226.39,  208.99,  794.07,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:41,  -08:00,       ,             ,             ,    -3.5, 30.13,        ,  19.2,   0.00,       ,  -43.29,       ,       ,       ,       ,      ,      ,  28.8,  17.4,  45.05,  53.02,     5.08,  154.99,   71.27,  15.72, 1235.9,  208.11,  222.81,  233.51,  229.50,  226.69,  209.45,  797.61,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:42,  -08:00,       ,             ,             ,    -3.5, 30.13,        ,  19.2,   0.00,       ,  -47.10,       ,       ,       ,       ,      ,      ,  28.8,  17.3,  45.07,  53.05,     5.08,  155.09,   71.26,  15.75, 1232.8,  208.56,  223.21,  233.89,  229.75,  226.95,  209.93,  801.13,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:43,  -08:00,       ,             ,             ,    -3.5, 30.13,        ,  19.2,   0.00,       ,  -32.53,       ,       ,       ,       ,      ,      ,  28.9,  17.2,  45.27,  53.03,     5.08,  155.15,   71.17,  15.81, 1227.9,  209.10,  223.58,  234.28,  229.97,  227.35,  210.37,  804.89,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2012-04-18, 16:25:44,  -08:00,       ,             ,             ,    -2.5, 30.13,        ,  19.2,   0.00,       ,   -4.51,       ,       ,       ,       ,      ,      ,  28.8,  17.0,  45.93,  53.02,     5.07,  155.21,   71.08,  15.85, 1224.2,  209.58,  224.00,  234.65,  230.28,  227.66,  210.82,  808.14,        ,   0,  GPS,  251.5, 110.70, 110.70, 125.350, 119.000,       ,       ,       ,      ,       ,       ,   14.0,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
